date,sku,product_name,channel,price,volume,cost,promo_flag
2025-05-26,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,8.9,1348,2.85,0
2025-06-02,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,9.02,1344,2.85,0
2025-06-09,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,8.92,1269,2.85,0
2025-06-16,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,8.99,1293,2.85,0
2025-06-23,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,7.64,1518,2.85,1
2025-06-30,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,8.98,1129,2.85,0
2025-07-07,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,9.06,1277,2.85,0
2025-07-14,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,8.95,1233,2.85,0
2025-07-21,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,9.04,1360,2.85,0
2025-07-28,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,8.96,1355,2.85,0
2025-08-04,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,8.91,1253,2.85,0
2025-08-11,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,8.91,1320,2.85,0
2025-08-18,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,9.01,1364,2.85,0
2025-08-25,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,8.91,1244,2.85,0
2025-09-01,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,9.04,1569,2.85,0
2025-09-08,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,8.97,1350,2.85,0
2025-09-15,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,9.05,1411,2.85,0
2025-09-22,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,9.03,1450,2.85,0
2025-09-29,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,8.91,1296,2.85,0
2025-10-06,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,8.98,1273,2.85,0
2025-10-13,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,9.07,1331,2.85,0
2025-10-20,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,9.04,1296,2.85,0
2025-10-27,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,5.39,2719,2.85,1
2025-11-03,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,8.94,1901,2.85,0
2025-11-10,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,9.06,1762,2.85,0
2025-11-17,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,9.06,2047,2.85,0
2025-11-24,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,8.95,1882,2.85,0
2025-12-01,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,9.01,2057,2.85,0
2025-12-08,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,8.97,1977,2.85,0
2025-12-15,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,8.92,2407,2.85,0
2025-12-22,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,8.09,2188,2.85,1
2025-12-29,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,9.01,1946,2.85,0
2026-01-05,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,9.01,1110,2.85,0
2026-01-12,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,9.07,1187,2.85,0
2026-01-19,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,8.92,1318,2.85,0
2026-01-26,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,8.96,1087,2.85,0
2026-02-02,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,8.93,1352,2.85,0
2026-02-09,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,9.07,1181,2.85,0
2026-02-16,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,8.99,1297,2.85,0
2026-02-23,AE-001,Crunchy Bites Chicken 6oz,Chewy.com,8.99,1276,2.85,0
